street.url,address_id,street_num,street_name,quadrant,anc,police_service_area,ward,neighborhood_cluster,police_district,police_sector,census_tract,voter_precinct,single_member_district,zip_code,roadway_id,lat,lon,residential_type
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=23+ELMIRA+ST+SW,156358,6,ELMIRA STREET,SW,ANC 8D,Police Service Area 708,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D3,009807,Precinct 126,SMD 8D06,20032,2800,38.82585425,-77.00782516,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5514+LANGLEY+WAY+SW,297236,5514,LANGLEY WAY,SW,ANC 8C,Police Service Area 707,Ward 8,Cluster 44,Police District - Seventh District,Police Sector 7D2,007301,Precinct 123,SMD 8C05,20032,5086,38.84500472,-77.01796448,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1449+CARROLLSBURG+PL+SW,65276,1400,CARROLLSBURG PLACE,SW,ANC 6D,Police Service Area 105,Ward 6,Cluster 9,Police District - First District,Police Sector 1D3,006400,Precinct 127,SMD 6D06,20024,10391,38.87282145,-77.00973335,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1149+15TH+ST+NW,278811,1100,15TH STREET,NW,ANC 2B,Police Service Area 207,Ward 2,Cluster 6,Police District - Second District,Police Sector 2D3,010100,Precinct 17,SMD 2B05,20005,9765,38.90402734,-77.03498658,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=549+OAKWOOD+ST+SE,8889,542,OAKWOOD STREET,SE,ANC 8C,Police Service Area 707,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D2,010400,Precinct 123,SMD 8C03,20032,15066,38.84533725,-76.99966559,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4364+BOWEN+RD+SE,24159,4300,BOWEN ROAD,SE,ANC 7E,Police Service Area 605,Ward 7,Cluster 32,Police District - Sixth District,Police Sector 6D2,009902,Precinct 106,SMD 7E02,20019,6914,38.87282467,-76.93731615,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1349+GIRARD+ST+NE,66250,1349,GIRARD STREET,NE,ANC 5B,Police Service Area 504,Ward 5,Cluster 22,Police District - Fifth District,Police Sector 5D2,009302,Precinct 73,SMD 5B03,20017,807,38.92651717,-76.98625513,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1506+CRITTENDEN+ST+NW,255613,1506,CRITTENDEN STREET,NW,ANC 4C,Police Service Area 404,Ward 4,Cluster 18,Police District - Fourth District,Police Sector 4D3,002501,Precinct 48,SMD 4C03,20011,14933,38.94699015,-77.03524392,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=6375+PINEY BRANCH+RD+NW,253251,6300,PINEY BRANCH ROAD,NW,ANC 4A,Police Service Area 402,Ward 4,Cluster 17,Police District - Fourth District,Police Sector 4D1,001804,Precinct 60,SMC 4A04,20011,294,38.96641823,-77.02883719,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5644+NANNIE HELEN BURROUGHS+AVE+NE,155683,5600,NANNIE HELEN BURROUGHS AVENUE,NE,ANC 7C,Police Service Area 608,Ward 7,Cluster 31,Police District - Sixth District,Police Sector 6D1,007807,Precinct 95,SMD 7C06,20019,13858,38.89857948,-76.92030015,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=814+19TH+ST+NE,79767,805,19TH STREET,NE,ANC 5D,Police Service Area 507,Ward 5,Cluster 23,Police District - Fifth District,Police Sector 5D3,008904,Precinct 79,SMD 5D05,20002,14780,38.90048566,-76.97598569,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=249+17TH+ST+NE,53295,200,17TH STREET,NE,ANC 6A,Police Service Area 108,Ward 6,Cluster 25,Police District - First District,Police Sector 1D2,008002,Precinct 86,SMD 6A08,20002,15949,38.89214763,-76.98101942,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=449+14TH+ST+SW,306554,401,14TH STREET,SW,ANC 2A,Police Service Area 207,Ward 2,Cluster 9,Police District - Second District,Police Sector 2D3,006202,Precinct 129,SMD 2A01,20227,20748,38.88473483,-77.03242256,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1949+4TH+AVE+SW,53357,1949,4TH STREET,NE,ANC 5E,Police Service Area 502,Ward 5,Cluster 21,Police District - Fifth District,Police Sector 5D1,008702,Precinct 75,SMD 5E03,20002,2070,38.91692178,-77.00025645,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1749+SOUTH CAPITOL+ST+SW,310843,1721,SOUTH CAPITOL STREET,SW,ANC 6D,Police Service Area 105,Ward 6,Cluster 9,Police District - First District,Police Sector 1D3,006400,Precinct 127,SMD 6D05,20003,9794,38.86901534,-77.00937377,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=649+MARYLAND+AVE+SW,1542,649,MARYLAND AVENUE,NE,ANC 6C,Police Service Area 108,Ward 6,Cluster 25,Police District - First District,Police Sector 1D2,008302,Precinct 85,SMD 6C03,20002,9725,38.89429727,-76.99689432,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=149+Q+ST+SW,313213,100,Q STREET,SW,ANC 6D,Police Service Area 105,Ward 6,Cluster 9,Police District - First District,Police Sector 1D3,006400,Precinct 127,SMD 6D06,20024,19057,38.87055353,-77.01247389,Ward 6
